project,Description,Update,Contact,Acres subject to any logging,Longitude,Latitude,Other,Litigation,Paused or ongoing,Sent to review,Amount of old growth
"Southside Project (Nantahala National Forest, NC)","The project’s 317 acres includes rare old-growth forest beloved by locals and the headwaters of the Chattooga River, a national Wild and Scenic River. It’s home to one of the most important remaining populations of the imperiled green salamander. Trees will be logged on erosive slopes near streams within three areas eligible for wilderness designation and within a state-designated natural heritage area.","Portions of this project are being litigated in Chattooga Conservancy v. U.S. Forest Service, No. 1:24-CV-00031 (W.D.N.C.).","Patrick Hunter, Southern Environmental Law Center (phunter@selcnc.org)",317.00,-83.661393,35.210174,:,,,,
"Tarleton, Peabody West, Lost River, and Sandwich Projects (White Mountain National Forest, NH)","Together, these four projects target approximately 5,500-acres for logging, the vast majority of which is in the mature or old-age classes according to the WMNF 2005 Forest Plan. The WMNF has refused to release stand age data or to screen for old-growth as defined by Region 9 of the Forest Service.","The WMNF maintains that its projects do not need elevated review by the Forest Service Deputy Chief, even if some stands meet the Region 9 definition of old-growth. The Tarleton and Peabody West projects were litigated in May, 2024 by Standing Trees. The Sandwich and Lost River Projects await final decisions.","Zack Porter, Standing Trees (zporter@standingtrees.org)",5500.00,-71.19319076,44.3537497,:,,,,
"Spruce Vegetation Project (Black Hills National Forest, SD)","The project will remove virtually all spruce trees — targeting the largest and oldest spruce — across 25,000 acres, or nearly 40 square miles. Such extensive logging, including clearcuts more than 40 football fields or larger in size, will likely require miles of new roads. With no size or age limit, the project will liquidate roughly half of the spruce habitat on the Black Hills National Forest, which many wildlife and plant species rely on.","The Spruce Project came out with the draft Decision Notice that shrunk the scope of the work considerably.  The scoping letter for the project  said that would occur on up to 25,000 acres.  The draft Decision Notice now identifies 3,556 acres for proposed treatment.  This is a significant reduction and is viewed as a win by locals who want to protect mature forests.  Local contact: Dave Mertz, former forester, Black Hills National Forest (mertzdave1@gmail.com) ","Dave Mertz, former forester, Black Hills National Forest (mertzdave1@gmail.com) ",25000.00,-103.2549631,44.00598155,:,,,,
"Flat Country Project (Willamette National Forest, OR)","The Flat Country Project includes 1,000 acres of clearcut-style logging in Douglas-fir and hemlock stands 98-170 years old. Although the project review states that legacy trees will be protected in some of the proposed units, multiple areas contain legacy trees with complex old growth that are not listed to be protected in the Record of Decision.","The FS withdrew the Flat Country project, citing that the project was incongruent with recent old-growth and climate directives.","Madeline Cowen, Cascadia Wildlands (madeline@cascwild.org)",1000.00,-122.24389,44.39361,:,,,,
"Grasshopper Project (Mt. Hood National Forest, OR)","The Grasshopper project targets over 3,000 acres of mature and old-growth forest stands. Over 80% of stands are over 80 years old, with some up to 220 years old. Logging would eliminate over 1,200 acres of currently suitable habitat for northern spotted owls, remove another 600 acres of dispersal habitat, and degrade the quality of an additional 1,700 habitat acres for this imperiled species, which relies on mature and old-growth forests for nesting, roosting, and foraging.",,"John Persell, Oregon Wild (jp@oregonwild.org)",3000.00,-121.125126,45.457,:,,,,
"Ragged Ruby Project (Malheur National Forest, OR)","The Ragged Ruby project targets 6,097 acres of upland forest for logging, including commercial logging of mixed-conifer forest stands that would remove trees greater than 21 inches in diameter. This requires amending the forest plan to allow logging in old-growth stands and removing large trees, which will sever connectivity between old-growth stands. The project also includes bulldozing 15 miles of logging roads.",,"Chandra LeGue, Oregon Wild (cl@oregonwild.org)",6097.00,-118.7176,44.29019,:,,,,
"Poor Windy Project (Medford District, Bureau of Land Management, OR)","This project includes 15,000 acres of BLM administered land. Actions would ""potentially remove 4,573 acres of nesting and foraging habitat"" for the northern spotted owl, which by definition is mature and old-growth forest.","In October of 2022, a federal district court judge ruled that the BLM and the US Fish and Wildlife Service had illegally authorized harm to spotted owls and the old-growth habitat upon which they rely in the Poor Windy Timber Sale. This litigation success saved over 200 acres of mature and old-growth forests. Unfortunately, recently the BLM has completed a new draft Biological Assessment that forms the basis for a yet another BIological Opinion by the USFWS. These documents put the forests in the Poor Windy Timber Sale back on the chopping block. The BLM has already auctioned off and logged timber sales in the project area. In spring 2024, tree sitters occupied some of the biggest and oldest trees found within the road prisms of the project. The BLM agreed to drop some of these trees from the project, but countless other mature trees are still slated to be logged.","George Sexton, KS Wild (gs@kswild.org)",15000.00,-123.389904,42.702342,:,,,,
"Integrated Vegetation Management Project (IVM) (Medford District, Bureau of Land Management, OR)","BLM’s effort to log 10,000 acres - including old-growth forests - in southwest Oregon over 10 years is being done under the guise of creating wildfire “resilience” and without adequate environmental analysis.","BLM auctioned off the land within the Late Mungers portion of this sale on May 23, 2024, despite the project being under litigation. The very next day, a magistrate judge issued a preliminary ruling that found BLM violated its own management plan by delaying the development of spotted owl habitat (mature and old-growth forests) and by failing to conduct a thorough environmental impact statement for the IVM project.","John Persell, Oregon Wild (jp@oregonwild.org)",10000.00,-123.291978,42.033643,:,,,,
"42 Divide (Roseburg District, Bureau of Land Management, OR)","As part of the 42 Divide Project, the Roseburg BLM proposes logging 5,280 acres of conifer stands, including clearcutting and commercial thinning on 1,728 acres, and building logging roads. Trees up to 200 years old are targeted for logging. The project includes some of the most intensive tree removal that the BLM allows.",This project is currently paused.,"Madeline Cowen, Cascadia Wildlands (madeline@cascwild.org)",5280.00,-122.1551944,43.3108056,:,,,,
"Telephone Gap Project (Green Mountain National Forest, VT)","Approximately 12,000 stand acres are proposed for harvest in the Telephone Gap Project. In the Modified Proposed Action, 91% of acres that will be logged are in either the mature or old age class of the GMNF Forest Plan, and 8.5% are old-growth as defined by Region 9 of the Forest Service.","Despite the presence of old-growth as defined by Region 9, the GMNF maintains that the Telephone Gap Project does not require elevated review by the Forest Service Deputy Chief. The Draft Record of Decision is due in the summer of 2024.","Zack Porter, Standing Trees (zporter@standingtrees.org)",12000.00,-72.891776,43.655579,:,,,,
"Early Successional Project (Green Mountain National Forest, VT)","This active project will cut up to 14,270 acres over 15 years. Site maps show that more than 130 stands older than 100 years are targeted, some with trees 160 years and older. The project will also bulldoze 25 miles of logging roads, 17 miles of which could be permanent.",,"Zack Porter, Standing Trees (zporter@standingtrees.org)",14270.00,-72.93227,43.21389,:,,,,
"Fourmile Project (Chequamegon-Nicolet National Forest, WI)","This project would log 12,000 acres, including clearcutting 1,000 acres, which would threaten vulnerable species like wood turtle and American pine marten. It is one of the largest logging efforts ever proposed for the CNNF. Wisconsin scientists warn that it will disturb maturing forest habitats, degrade recreation, and disrupt struggling species with roads and logging over large areas of forest.","logging has commenced on Fourmile, including mature and old-growth trees. The FS has declined to pause the project.","Andy Olsen, Environmental Law and Policy Center (Aolsen@elpc.org)",12000.00,-89.084187,45.85165,:,,,,
Upper Cheat River Project (Monongahela National Forest WV),"The project will clearcut 3,463 acres of mature hardwood forest and cost taxpayers $1.4 million. Two-thirds of the targeted stands are more than 100 years old, with some trees older than 200 years. Widespread logging at the start of the 20th century stripped hillsides of much of  the original old-growth forest but small pockets remain.","The Forest Service has identified 53 stands more than 150 years old within the project boundary. Some of those stands are proposed to be clearcut. This past winter volunteers found the 3rd largest Eastern Hemlock and the 4th largest Sugar Maple on record in West Virginia in the project area. These ancient trees are an indicator of just how old parts of this forest are. While the champion maple and oak are outside proposed clearcuts, the hemlock is in the middle of a proposed clearcut of a 60% slope with many trees over 150 years old. This winter, volunteers surveyed 3 of the 120 stands proposed for clearcut and measured 293 trees that are greater than 8 feet circumference with the largest being 17 feet around. There has been a Record of Decision  (ROD) on the project that was formally objected to in 2022 by local and environmental groups. Monongahela National Forest will not elevate this project for higher review. As of spring of 2024, a final signature by the forest supervisor is all that stands between these trees and the chainsaws.","John Coleman, Speak For  The Trees Too  (Speak4Trees2@gmail.com)",3463.00,-79.902305,38.536359,:,,,,
"Black Hills Resilient Landscapes Project (Black Hills National Forest, WY & SD)","This project authorizes 180,000 acres of logging of mature forests.  The Final Environmental Impact Statement says to “Remove most of the mature trees from stands with an adequate number of pine saplings or poles (overstory removal)"" (pg 25). It began implementation in 2018.","The Black Hills Resilient Landscapes project had originally authorized 180,000 acres of logging of mature forests.  The Final Environmental Impact Statement read “Remove most of the mature trees from stands with an adequate number of pine saplings or poles (overstory removal)"" (pg 25). Implementation began in 2018 but has recently slowed to a much reduced rate.  Most of the current activities associated with the project are other than timber harvesting.  The future status remains uncertain but the hope is that the timber harvest activities will fade away.","Dave Mertz, former forester, Black Hills National Forest (mertzdave1@gmail.com) ",180000.00,-104.003894,43.945362,:,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
